team,payroll,season
Philadelphia 76ers,150496913,2023
Atlanta Hawks,149836313,2023
New York Knicks,148987936,2023
Oklahoma City Thunder,148856338,2023
Utah Jazz,148738241,2023
New Orleans Pelicans,148360910,2023
Minnesota Timberwolves,145793656,2023
Portland Trail Blazers,144997250,2023
Sacramento Kings,139423615,2023
Houston Rockets,137579793,2023
Detroit Pistons,129153570,2023
Memphis Grizzlies,127139520,2023
Orlando Magic,126107324,2023
Charlotte Hornets,125874047,2023
Indiana Pacers,125706114,2023
San Antonio Spurs,104545376,2023
Golden State Warriors,209354737,2024
Los Angeles Clippers,201366679,2024
Phoenix Suns,193838882,2024
Milwaukee Bucks,187346674,2024
Boston Celtics,186940921,2024
Denver Nuggets,180922992,2024
Miami Heat,177143542,2024
Los Angeles Lakers,169876920,2024
Dallas Mavericks,167755884,2024
New Orleans Pelicans,167403924,2024
Cleveland Cavaliers,166874287,2024
Minnesota Timberwolves,166434327,2024
Philadelphia 76ers,166271894,2024
Chicago Bulls,165630436,2024
Portland Trail Blazers,165263993,2024
New York Knicks,164990518,2024
Toronto Raptors,163054678,2024
Memphis Grizzlies,162649524,2024
Oklahoma City Thunder,162515272,2024
Atlanta Hawks,159153393,2024
Brooklyn Nets,155015136,2024
Sacramento Kings,153564021,2024
Washington Wizards,150856313,2024
Houston Rockets,149356730,2024
Indiana Pacers,148722330,2024
San Antonio Spurs,142867770,2024
Charlotte Hornets,140774484,2024
Detroit Pistons,139233014,2024
Utah Jazz,133738448,2024
Orlando Magic,132643598,2024
